,Efficiency_Score (theta),lambda_BD20 algae,lambda_BD20 Camelina,lambda_BD20 canola,lambda_BD20 corn,lambda_BD20 Jatropha,lambda_BD20 palm,lambda_BD20 tallow,lambda_BD20 soy,lambda_E10 corn A,lambda_E10 corn B,lambda_E10 corn C,lambda_E10 corn D,lambda_E10 corn E,lambda_E10 corn stover,lambda_E10 corn stover*G,lambda_E10 corn/stover A,lambda_E10 corn/stover B,lambda_E10 forage sorghum,lambda_E10 forest residue,lambda_E10 forest residue*G,lambda_E10 grain sorghum,lambda_E10 Miscanthus,lambda_E10 Miscanthus*G,lambda_E10 MSW,lambda_E10 poplar,lambda_E10 poplar*G,lambda_E10 sugarcane,lambda_E10 sweet sorghum A,lambda_E10 sweet sorghum B,lambda_E10 switchgrass,lambda_E10 switchgrass*G,lambda_E10 willow,lambda_E10 willow*G,lambda_E85 corn A,lambda_E85 corn B,lambda_E85 corn C,lambda_E85 corn D,lambda_E85 corn E,lambda_E85 corn stover,lambda_E85 corn stover*G,lambda_E85 corn/stover A,lambda_E85 corn/stover B,lambda_E85 forage sorghum,lambda_E85 forest residue,lambda_E85 forest residue*G,lambda_E85 grain sorghum,lambda_E85 Miscanthus,lambda_E85 Miscanthus*G,lambda_E85 MSW,lambda_E85 poplar,lambda_E85 poplar*G,lambda_E85 sugarcane,lambda_E85 sweet sorghum A,lambda_E85 sweet sorghum B,lambda_E85 switchgrass,lambda_E85 switchgrass*G,lambda_E85 willow,lambda_E85 willow*G,lambda_RDI algae,lambda_RDI Camelina,lambda_RDI canola,lambda_RDI corn,lambda_RDI Jatropha,lambda_RDI palm,lambda_RDI soy,lambda_RDII algae,lambda_RDII Camelina,lambda_RDII canola,lambda_RDII corn,lambda_RDII Jatropha,lambda_RDII palm,lambda_RDII soy,s_minus_Cost,s_minus_LO,s_minus_Water,s_minus_GWP,s_minus_FWET,s_minus_FWEU,s_minus_HT,s_minus_PMPF,s_minus_POFP,s_minus_TA,s_minus_TE,s_plus_Output,Is_Efficient
E10 corn/stover A,0.93604033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64961322,0.0,0.0,0.0,0.18240869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16797809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022831986694915263,0.0060369451499571545,7.76053214746053e-11,0.10385558190283406,3.003002013723943e-11,0.01380695988290398,0.03491888506329113,0.023402272268292695,0.058662977893939344,-1.7948718622484705e-09,0.025877307982456188,0.0,False
E10 corn/stover B,0.86524551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53491435,0.0,0.0,0.0,0.26625338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19883227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01922113161016953,0.00826757820051414,4.4345898481124024e-11,0.05233463101214575,5.405405567593391e-10,0.0018210629859484878,0.02105262835443037,0.01779630834146345,0.062425253121212054,-9.502262310334686e-10,0.024623785000000065,0.0,False
E10 forage sorghum,0.90703476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44329899,0.0,0.0,0.0,0.46655637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08341701,0.0,0.0067276252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013727758088135644,2.639245939850543e-11,2.2793791507047523e-10,7.206477747878637e-09,4.504504547142574e-10,0.0003505100318501181,0.013877145655696203,0.022932336006829313,0.0556362553072727,0.03576846885610868,0.01587798697192988,-4.799999953064571e-09,False
E10 forest residue,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E10 forest residue*G,0.86832119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68732165,0.0,0.0,0.0,0.011108225,0.0,0.0,0.0,0.078761611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014759052,0.0084714835,0.0,0.0,0.0,0.19957798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.457626738371914e-10,9.425878480517902e-11,7.982261553129977e-12,0.03663889320040492,5.78078113155911e-10,7.611241498173271e-11,0.014477857968354418,0.0035857956719512474,0.06310554821060602,-2.352941175232104e-10,0.03427029473245613,1.5000001241105565e-09,False
E10 grain sorghum,0.87586165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25474933,0.0,0.0,0.0,0.53226861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01802137,0.0,0.0,0.0,0.0,0.19261189,0.0,0.0023487942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0966102187713886e-09,-1.9880031648655816e-11,-2.815964475488819e-11,0.07571494542510138,1.0510510378702875e-09,0.006918523010772837,0.022858989529113916,0.016485179972682923,0.048650852748181844,2.82594259104485e-09,0.0037994401824560375,-5.7999999247826395e-09,False
E10 Miscanthus,0.97947717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12008101,0.0,0.0,0.0,0.16520592,0.0,0.0,0.0,0.66766277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030107079,0.0,0.0,0.0,0.044039582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6949153464350672e-09,-3.770350351373075e-12,1.17294902957088e-10,0.020948844288663837,3.0300301157026865e-10,1.7587822170872514e-10,0.0005117640518987367,0.0026945686582927064,0.01306308331272732,0.01319296409834092,0.00042959483070176274,-1.0099999947499327e-08,False
E10 Miscanthus*G,0.92304308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17414709,0.0,0.0,0.0,0.14941044,0.0,0.0,0.0,0.0,0.54102765,0.0,0.0,0.0,0.0,0.0,0.0,0.013227954,0.0,0.0,0.0,0.0,0.020482504,0.0,0.0,0.0,0.10170436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003950105525423797,3.239074598815339e-10,-8.647449770138316e-11,0.025927172469635718,1.1051051185262395e-09,1.4051523833380486e-11,0.0041190723291139215,0.005502824600000039,0.031049680751515207,-2.564102263846735e-10,-9.298245506883518e-10,-2.0000000544584395e-09,False
E10 MSW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E10 poplar,0.99797452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081952603,0.0,0.0,0.0,0.90677656,0.00029457097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018484413,0.0,0.0,0.0,0.0,0.0082713443,0.0,0.00085648322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.161863631502172e-10,-3.849185900572927e-11,-2.441241306327946e-11,0.008925275930121379,-5.237237032940101e-11,-3.031616624404876e-11,0.0005806258039240536,0.008354910458975628,0.015310282139257697,0.017632178772880813,-3.984210739105265e-10,2.79000000880103e-09,False
E10 poplar*G,0.94410982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28177289,0.0,0.0,0.0,0.018875489,0.0,0.0,0.0,0.0,0.53488703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052958321,0.0,0.0,0.0,0.15916876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023448891694915264,0.010732797685004281,-6.962305905411359e-11,0.06039973299878543,-6.72372352239492e-10,-1.384075007382357e-10,0.008126705391139234,0.005029544478292708,0.05304170474333325,-1.0003016748250104e-09,7.131578938501804e-10,1.100000091014408e-09,False
E10 sugarcane,0.99161426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89867446,0.0,0.0,0.0,0.0,0.00033733474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099108685,0.0,0.0018795196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5847468609896396e-10,9.425878046837033e-12,0.012028423841219514,0.09675467829668016,-6.510508798740489e-11,0.0075614258362763295,0.022210145590632915,0.07222170829317077,0.1210098815322122,0.15258170771601798,2.6666674424191683e-10,-6.600000546086449e-10,False
E10 sweet sorghum A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
